"package","author"
"BiplotGUI","Anthony la Grange and  N. J. le Roux and P.J. Rousseeuw and I. Ruts and J. W. Tukey"
"CircStats","Ulric Lund and Claudio Agostinelli"
"ElemStatLearn","Kjetil Halvorsen"
"Fahrmeir","Kjetil Halvorsen"
"Hmisc","Harrell, Jr., Frank E"
"Hmisc","Frank E. {Harrell, Jr.}"
"R2SWF","Yixuan Qiu and Yihui Xie and Cameron Bracken"
"R2WinBUGS","Andrew Gelman and Sibylle Sturtz and Uwe Ligges and Gregor Gorjanc and Jouni Kerman"
"RODBC","Brian Ripley and Michael Lapsley"
"RgoogleMaps","Markus Loecher"
"Sleuth2","F. L. Ramsey and D. W. Schafer and Jeannie Sifneos and Berwin A. Turlach"
"ade4","Stéphane Dray and Anne-Béatrice Dufour and Jean Thioulouse and Thibaut Jombart and Sandrine Pavoine and Jean R. Lobry and Sébastien Ollier and Aurélie Siberchicot and Daniel Chessel"
"akima","H. Akima and Albrecht Gebhardt and Thomas Petzoldt and Martin Maechler"
"ash","David W. Scott and Albrecht Gebhardt and Stephen Kaluzny"
"bcpa","Jose Claudio Faria and Clarice Garcia Borges Demetrio"
"bitops","Steve Dutky and Martin Maechler"
"cacheSweave","Roger D. Peng"
"cat","Ted Harding and Fernando Tusell and Joseph L. Schafer"
"contrast","Max Kuhn and Steve Weston and Jed Wing and James Forester"
"date","Terry Therneau and Thomas Lumley and Kjetil Halvorsen and Kurt Hornik"
"digest","Dirk Eddelbuettel"
"epiR","Mark Stevenson and Telmo Nunes and Cord Heuer and Jonathon Marshall and Javier Sanchez and Ron Thornton and Jeno Reiczigel and Jim Robison-Cox and Paola Sebastiani and Peter Solymos"
"flashClust","Fionn Murtagh and {R development team} and Peter Langfelder"
"foreach","{Revolution Analytics} and Steve Weston}"
"fortunes","Achim Zeileis and the R community"
"gWidgets","John Verzani"
"gee","Vincent J Carey and Thomas Lumley and Brian Ripley"
"gmodels","Gregory R. Warnes andBen Bolker and Thomas Lumley and Randall C Johnson and Randall C. Johnson"
"hexbin","Dan Carr and Nicholas Lewin-Koh and Martin Maechler"
"leaps","Thomas Lumley"
"mapproj","Doug McIlroy and Ray Brownrigg and Thomas P Minka and Roger Bivand"
"maps","Ray Brownrigg"
"mathgraph","Patrick J. Burns and Nick Efthymiou and Claus Dethlefsen"
"oz","Bill Venables and Kurt Hornik"
"pbivnorm","Alan Genz and Brenton Kenkel"
"pscl","Simon Jackman and Alex Tahk and Achim Zeileis and Christina Maimone and Jim Fearon"
"quadprog","Berwin A. Turlach and Andreas Weingessel"
"randomForest","Leo Breiman and Adele Cutler and Andy Liaw and Matthew Wiener"
"rgl","Daniel Adler and Duncan Murdoch"
"rms","Frank E. {Harrell, Jr.}"
"robustbase","Valentin Todorov and Andreas Ruckstuhl and Matias Salibian-Barrera and Tobias Verbeke and Manuel Koller and Martin Maechler"
"sm","Adrian Bowman and Adelchi Azzalini"
"tuneR","Uwe Ligges"
